"make","model","trim","year","vin","highlights","basic_data","prices"
"Nissan","Sentra","S","2023","3N1AB8BVXPY284858","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""Front Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16 X 6.5"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""29"", ""fuel_consumption_highway"": ""39""}","{""make"": ""Nissan"", ""trim"": ""S"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Sentra"", ""style"": ""S CVT"", ""source"": ""Chrome"", ""body_type"": ""S CVT"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Front Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4-door Mid-Size Passenger Car"", ""model_number"": ""12013"", ""package_code"": """", ""vehicle_type"": ""4dr Car"", ""is_chrome_make"": true, ""oem_body_style"": ""4dr Car"", ""bed_length_foot"": """"}","{""MSRP"": 21220, ""invoice"": 20405, ""estimatedPackagesMSRP"": 75, ""estimatedPackagesInvoice"": 65}"
"GMC","Yukon","Denali Ultimate","2023","1GKS2EKLXPR154037","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""Luxury"", ""SUV""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": true, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""22"", ""transmissionType"": ""A"", ""engine_displacement"": ""6.2"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""14"", ""fuel_consumption_highway"": ""18""}","{""make"": ""GMC"", ""trim"": ""Denali Ultimate"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Yukon"", ""style"": ""4WD 4dr Denali Ultimate"", ""source"": ""Chrome"", ""body_type"": ""4WD 4dr Denali Ultimate"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""TK10706"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 94140, ""invoice"": 86365, ""estimatedPackagesMSRP"": 495, ""estimatedPackagesInvoice"": 450.45}"
"Ford","Transit Connect","XL","2023","NM0LS7S27P1549873","{""doors"": ""4"", ""seats"": ""2"", ""carType"": [""Van""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""127.4"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""24"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Ford"", ""trim"": ""XL"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Transit Connect"", ""style"": ""XL 4dr LWB Cargo Mini-Van w/Rear Cargo Doors"", ""source"": ""DataOne"", ""body_type"": ""Mini-Van"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": ""992"", ""body_subtype"": ""Cargo"", ""model_number"": ""S7S"", ""package_code"": ""100A"", ""vehicle_type"": ""Van"", ""is_chrome_make"": false, ""oem_body_style"": ""Cargo Mini-Van"", ""bed_length_foot"": null}","{""MSRP"": 38960, ""invoice"": 37388, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Land Rover","Defender","130 SE","2023","SALEPFEU7P2215415","{""doors"": ""4"", ""seats"": ""8"", ""carType"": [""Luxury"", ""SUV""], ""moonroof"": true, ""cylinders"": ""6"", ""cargoSpace"": ""15.3"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": true, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""20.0 x 8.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""3.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Land Rover"", ""trim"": ""130 SE"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Defender"", ""style"": ""AWD 130 SE 4dr SUV"", ""source"": ""DataOne"", ""body_type"": ""SUV"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""AWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""AK663"", ""package_code"": ""351CK"", ""vehicle_type"": ""SUV"", ""is_chrome_make"": false, ""oem_body_style"": ""SUV"", ""bed_length_foot"": null}","{""MSRP"": 86730, ""invoice"": 82393, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Nissan","Altima","2.5 SL","2024","1N4BL4EW4RN301509","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19 X 8"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""26"", ""fuel_consumption_highway"": ""36""}","{""make"": ""Nissan"", ""trim"": ""2.5 SL"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""Altima"", ""style"": ""2.5 SL AWD Sedan"", ""source"": ""Chrome"", ""body_type"": ""2.5 SL AWD Sedan"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4-door Mid-Size Passenger Car"", ""model_number"": ""13614"", ""package_code"": """", ""vehicle_type"": ""4dr Car"", ""is_chrome_make"": true, ""oem_body_style"": ""4dr Car"", ""bed_length_foot"": """"}","{""MSRP"": 36615, ""invoice"": 34405, ""estimatedPackagesMSRP"": 1195, ""estimatedPackagesInvoice"": 1024}"
"Kia","Forte","LXS","2023","3KPF24AD8PE644604","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""15.3"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""28"", ""fuel_consumption_highway"": ""39""}","{""make"": ""Kia"", ""trim"": ""LXS"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Forte"", ""style"": ""LXS 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""C3422"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 21785, ""invoice"": 21229, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Nissan","LEAF","SV PLUS","2024","1N4CZ1CV9RC551447","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""hybrid_electric"", ""Hatchback""], ""moonroof"": false, ""cylinders"": null, ""cargoSpace"": ""23.6"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""0.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Nissan"", ""trim"": ""SV PLUS"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""LEAF"", ""style"": ""SV PLUS 4dr Hatchback"", ""source"": ""DataOne"", ""body_type"": ""Hatchback"", ""fuel_type"": ""L"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""17114"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Hatchback"", ""bed_length_foot"": null}","{""MSRP"": 38195, ""invoice"": 36150, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"GMC","Yukon XL","AT4","2023","1GKS2HKD9PR176928","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""SUV""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""20 x 9"", ""transmissionType"": ""A"", ""engine_displacement"": ""5.3"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""15"", ""fuel_consumption_highway"": ""19""}","{""make"": ""GMC"", ""trim"": ""AT4"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Yukon XL"", ""style"": ""4WD 4dr AT4"", ""source"": ""Chrome"", ""body_type"": ""4WD 4dr AT4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""L84"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""TK10906"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 80310, ""invoice"": 77080, ""estimatedPackagesMSRP"": 9955, ""estimatedPackagesInvoice"": 9059.050000000001}"
"Nissan","Rogue","SV","2023","JN8BT3BA0PW003497","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Hatchback""], ""moonroof"": false, ""cylinders"": ""3"", ""cargoSpace"": """", ""drive_type"": ""Front Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7.5"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""30"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Nissan"", ""trim"": ""SV"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Rogue"", ""style"": ""FWD SV"", ""source"": ""Chrome"", ""body_type"": ""FWD SV"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Front Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""2WD Sport Utility Vehicles"", ""model_number"": ""29313"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 35920, ""invoice"": 34191, ""estimatedPackagesMSRP"": 4830, ""estimatedPackagesInvoice"": 4258}"
"Nissan","Altima","2.5 SR","2024","1N4BL4CV3RN318814","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""15.4"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19.0 x 8.0"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Nissan"", ""trim"": ""2.5 SR"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""Altima"", ""style"": ""2.5 SR 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""13514"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 29920, ""invoice"": 27888, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
